timestamp,page,full_page_calls,poly_calls,total_calls,cost_usd
2026-06-20T04:51:55,Appendix_2/1_source_pages/page_060,1,4,5,0.0075
2026-06-20T04:51:55,Appendix_2/1_source_pages/page_054,1,8,9,0.0135
2026-06-20T04:51:55,Appendix_2/1_source_pages/page_053,1,10,11,0.0165
2026-06-20T04:51:57,Appendix_2/1_source_pages/page_058,1,7,8,0.0120
2026-06-20T04:51:57,Appendix_2/1_source_pages/page_055,1,7,8,0.0120
2026-06-20T04:51:58,Appendix_2/1_source_pages/page_063,1,3,4,0.0060
2026-06-20T04:52:01,Appendix_2/1_source_pages/page_059,1,8,9,0.0135
2026-06-20T04:52:04,Appendix_2/1_source_pages/page_061,1,7,8,0.0120
2026-06-20T04:52:09,Appendix_2/1_source_pages/page_065,1,7,8,0.0120
2026-06-20T04:52:10,Appendix_2/1_source_pages/page_066,1,7,8,0.0120
2026-06-20T04:52:11,Appendix_2/1_source_pages/page_062,1,7,8,0.0120
2026-06-20T04:52:11,Appendix_2/1_source_pages/page_067,1,6,7,0.0105
2026-06-20T04:52:11,Appendix_2/2_post_pages/page_076,1,3,4,0.0060
2026-06-20T04:52:12,Appendix_2/1_source_pages/page_071,1,5,6,0.0090
2026-06-20T04:52:13,Appendix_2/1_source_pages/page_070,1,5,6,0.0090
2026-06-20T04:52:14,Appendix_2/1_source_pages/page_068,1,7,8,0.0120
2026-06-20T04:52:14,Appendix_2/0_table_of_contents/page_004,1,80,81,0.1215
2026-06-20T04:52:15,Appendix_2/1_source_pages/page_069,1,7,8,0.0120
2026-06-20T04:52:15,Appendix_3/0_table_of_contents/page_001,1,3,4,0.0060
2026-06-20T04:52:16,Appendix_2/1_source_pages/page_072,1,6,7,0.0105
2026-06-20T04:52:17,Appendix_2/1_source_pages/page_073,1,6,7,0.0105
2026-06-20T04:52:17,Appendix_2/1_source_pages/page_064,1,10,11,0.0165
2026-06-20T04:52:19,Appendix_2/1_source_pages/page_074,1,7,8,0.0120
2026-06-20T04:52:34,Appendix_3/1_source_pages/page_006,1,7,8,0.0120
2026-06-20T04:52:35,Appendix_3/1_source_pages/page_008,1,6,7,0.0105
2026-06-20T04:52:36,Appendix_3/1_source_pages/page_003,1,9,10,0.0150
2026-06-20T04:52:38,Appendix_2/1_source_pages/page_075,1,15,16,0.0240
2026-06-20T04:52:39,Appendix_3/1_source_pages/page_012,1,8,9,0.0135
2026-06-20T04:52:43,Appendix_3/1_source_pages/page_004,1,12,13,0.0195
2026-06-20T04:52:43,Appendix_3/1_source_pages/page_015,1,9,10,0.0150
2026-06-20T04:52:46,Appendix_3/1_source_pages/page_010,1,11,12,0.0180
2026-06-20T04:52:46,Appendix_3/1_source_pages/page_007,1,10,11,0.0165
2026-06-20T04:52:48,Appendix_3/1_source_pages/page_013,1,11,12,0.0180
2026-06-20T04:52:50,Appendix_3/1_source_pages/page_011,1,12,13,0.0195
2026-06-20T04:52:50,Appendix_3/1_source_pages/page_016,1,11,12,0.0180
2026-06-20T04:52:52,Appendix_3/1_source_pages/page_014,1,10,11,0.0165
2026-06-20T04:52:52,Appendix_3/1_source_pages/page_005,1,15,16,0.0240
2026-06-20T04:53:03,Appendix_3/1_source_pages/page_020,1,9,10,0.0150
2026-06-20T04:53:03,Appendix_3/1_source_pages/page_009,1,18,19,0.0285
2026-06-20T04:53:04,Appendix_3/1_source_pages/page_022,1,5,6,0.0090
2026-06-20T04:53:05,Appendix_3/1_source_pages/page_019,1,9,10,0.0150
2026-06-20T04:53:06,Appendix_3/1_source_pages/page_018,1,11,12,0.0180
2026-06-20T04:53:16,Appendix_3/1_source_pages/page_017,1,13,14,0.0210
2026-06-20T04:53:39,Appendix_3/1_source_pages/page_029,1,17,18,0.0270
2026-06-20T04:53:39,Appendix_3/1_source_pages/page_021,1,23,24,0.0360
2026-06-20T04:53:44,Appendix_3/1_source_pages/page_028,1,20,21,0.0315
2026-06-20T04:53:44,Appendix_3/1_source_pages/page_030,1,19,20,0.0300
2026-06-20T04:53:49,Appendix_3/1_source_pages/page_023,1,25,26,0.0390
2026-06-20T04:53:54,Appendix_3/1_source_pages/page_025,1,27,28,0.0420
2026-06-20T04:53:55,Appendix_3/1_source_pages/page_024,1,26,27,0.0405
2026-06-20T04:53:59,Appendix_3/1_source_pages/page_031,1,20,21,0.0315
2026-06-20T04:54:02,Appendix_3/1_source_pages/page_035,1,21,22,0.0330
2026-06-20T04:54:04,Appendix_3/1_source_pages/page_026,1,31,32,0.0480
2026-06-20T04:54:08,Appendix_3/1_source_pages/page_027,1,31,32,0.0480
2026-06-20T04:54:11,Appendix_3/1_source_pages/page_033,1,26,27,0.0405
2026-06-20T04:54:12,Appendix_3/1_source_pages/page_038,1,11,12,0.0180
2026-06-20T04:54:13,Appendix_3/1_source_pages/page_034,1,26,27,0.0405
2026-06-20T04:54:15,Appendix_3/2_post_pages/page_046,1,3,4,0.0060
2026-06-20T04:54:16,Appendix_3/1_source_pages/page_032,1,28,29,0.0435
2026-06-20T04:54:24,Volume_1/0_table_of_contents/page_001,1,5,6,0.0090
2026-06-20T04:54:32,Appendix_3/1_source_pages/page_039,1,18,19,0.0285
2026-06-20T04:54:37,Appendix_3/1_source_pages/page_036,1,32,33,0.0495
2026-06-20T04:54:46,Volume_1/1_source_pages/page_006,1,10,11,0.0165
2026-06-20T04:54:47,Appendix_3/1_source_pages/page_045,1,17,18,0.0270
2026-06-20T04:54:50,Appendix_3/0_table_of_contents/page_002,1,67,68,0.1020
2026-06-20T04:54:51,Appendix_3/1_source_pages/page_044,1,20,21,0.0315
2026-06-20T04:54:51,Appendix_3/1_source_pages/page_037,1,29,30,0.0450
